trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",20,0,-4.793801384725913,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,0,6.341885712099851,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",20,9,8.875228404954811,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",20,0,-22.04396246634717,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.536268225207185}",20,0,-44.139949583733994,"{0: 16, 1: 0, 2: 1, 3: 3, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",20,0,-24.172740514292638,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,15,-12.26159993626601,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,3,-5.009646746898294,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",35,0,-49.68944363104278,"{0: 31, 1: 1, 2: 1, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",25,8,14.796866713424368,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,7,1.9261531705639556,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",30,12,-74.45635442458027,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",20,2,-69.78915183951129,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,10,7.191818197809754,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",25,0,-43.4932026991891,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,0,-5.532851448218561,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,1,-38.83017740883539,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",20,6,-1.6443773803620885,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",20,0,-33.955422366549556,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",30,0,-54.39254500204745,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",20,1,-13.23514084777901,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",25,0,-110.63349485642368,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",25,0,-55.34545717571296,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",25,0,-50.82820844637814,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",20,0,-59.58540123178162,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",20,0,4.01930406765144,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
